sales_month,category,state,customer_segment,total_orders,total_customers,total_sellers,total_quantity,total_sales,average_order_value,average_unit_price
2024-01-01,Electronics,Tamil Nadu,Regular,767,738,551,1066,14616507.290000001,19056.723976532,14005.940417209909
2024-01-01,Fashion,Delhi,Regular,521,506,395,722,10919586.859999998,20958.899923225,15031.2158925144
2024-01-01,Electronics,Gujarat,New,151,149,142,200,3123324.3800000008,20684.267417219,14610.111854304638
2024-01-01,Beauty,Delhi,Regular,287,276,254,411,6514958.78,22700.204808362,16028.292125435537
2024-01-01,Sports,Gujarat,Regular,235,232,214,334,4307633.9799999995,18330.357361702,13349.492936170212
2024-01-01,Beauty,Telangana,Regular,379,363,306,514,7476141.8299999991,19725.967889182,15117.295672823215
2024-01-01,Electronics,West Bengal,Regular,496,470,384,674,11228105.639999997,22637.309758065,15694.285080645162
2024-01-01,Sports,Telangana,Regular,318,315,279,437,6681799.9700000007,21011.949591195,14089.947830188683
2024-01-01,Electronics,Uttar Pradesh,Regular,900,859,583,1250,18524300.82,20582.556466667,15039.2828
2024-01-01,Home & Kitchen,Maharashtra,New,167,162,152,244,3534087.850000001,21162.202694611,14298.626766467065
2024-01-01,Sports,Delhi,New,44,43,44,63,1095677.4100000001,24901.759318182,17277.519090909089
2024-01-01,Beauty,Gujarat,Regular,268,266,234,361,4772105.5999999987,17806.364179104,13185.118358208954
2024-01-01,Fashion,Maharashtra,New,190,175,170,269,3761916.9499999997,19799.562894737,14342.773842105262
2024-01-01,Grocery,Delhi,Regular,297,289,253,425,5021912.5800000019,16908.796565657,12496.990370370369
2024-01-01,Fashion,Uttar Pradesh,Regular,785,763,552,1086,16686052.560000006,21256.117910828,15909.479643312108
2024-01-01,Electronics,Maharashtra,Premium,192,181,171,268,4601512.33,23966.210052083,15663.318593750006
2024-01-01,Home & Kitchen,Telangana,Regular,581,560,446,807,14622203.350000005,25167.303528399,18185.715335628229
2024-01-01,Electronics,Telangana,New,173,163,152,237,3383237.21,19556.284450867,13364.773410404623
2024-01-01,Grocery,Gujarat,Regular,290,283,256,373,6146125.52,21193.536275862,15590.86227586207
2024-01-01,Sports,Gujarat,New,53,51,52,77,1150940.31,21715.85490566,13711.351132075473
2024-01-01,Electronics,Telangana,Premium,169,157,151,239,3781147.8500000006,22373.65591716,15363.097810650888
2024-01-01,Electronics,Gujarat,Premium,132,129,122,180,1983253.9699999997,15024.651287879,11854.920757575757
2024-01-01,Sports,West Bengal,Premium,35,35,35,41,1230546.88,35158.482285714,26922.286
2024-01-01,Fashion,Maharashtra,Premium,204,200,186,274,4538294.3999999994,22246.541176471,16857.407205882359
2024-01-01,Fashion,Telangana,New,158,155,144,225,3012196.1099999989,19064.532341772,12937.953734177212
2024-01-01,Electronics,Maharashtra,New,205,194,177,272,3342553.4299999992,16305.138682927,12532.798926829269
2024-01-01,Home & Kitchen,Gujarat,Regular,420,405,346,586,8412918.58,20030.75852381,13895.796690476196
2024-01-01,Fashion,Telangana,Regular,622,596,472,880,14027398.669999992,22552.087893891,16109.725289389069
2024-01-01,Beauty,West Bengal,New,40,39,40,56,456381.69999999995,11409.5425,9267.2219999999979
2024-01-01,Home & Kitchen,Maharashtra,Premium,144,140,133,213,2796772.57,19422.031736111,13706.259097222224
2024-01-01,Fashion,Telangana,Premium,143,138,131,188,2508779.3100000005,17543.911258741,14652.650769230771
2024-01-01,Fashion,Gujarat,Regular,501,482,395,692,10745563.54,21448.230618762,15716.345848303383
2024-01-01,Fashion,West Bengal,Regular,405,390,335,556,9077142.0300000012,22412.69637037,16357.279086419761
2024-01-01,Fashion,Gujarat,New,117,113,111,157,2453092.0600000005,20966.598803419,17037.08205128205
2024-01-01,Sports,Delhi,Regular,229,228,208,310,4293359.8999999994,18748.29650655,14673.150131004366
2024-01-01,Fashion,Uttar Pradesh,New,168,165,152,250,3737868.2699999991,22249.215892857,14267.701249999996
2024-01-01,Home & Kitchen,Telangana,Premium,131,125,123,177,2675578.0500000007,20424.259923664,14711.572061068704
2024-01-01,Electronics,Gujarat,Regular,601,577,458,806,10719913.909999998,17836.795191348,13071.37494176373
2024-01-01,Home & Kitchen,Telangana,New,120,115,115,174,2304838.649999999,19206.98875,13879.681
2024-01-01,Sports,Karnataka,New,71,71,69,106,1653802.1699999997,23292.988309859,15744.766197183097
2024-01-01,Electronics,Telangana,Regular,783,754,545,1097,16620123.100000003,21226.210855683,15605.465874840362
2024-01-01,Beauty,Telangana,Premium,88,88,85,118,2057448.3100000005,23380.094431818,14284.851022727275
2024-01-01,Beauty,West Bengal,Premium,47,47,47,61,858911.55,18274.713829787,13497.723404255319
2024-01-01,Electronics,Uttar Pradesh,New,213,202,193,310,4166888.3599999994,19562.856150235,14141.503896713617
2024-01-01,Home & Kitchen,West Bengal,Regular,377,364,302,517,7268736.7300000014,19280.468779841,14627.293262599464
2024-01-01,Sports,Maharashtra,Regular,433,428,357,605,8691685.93,20073.177667436,14429.732009237878
2024-01-01,Grocery,Telangana,New,84,84,80,119,1089125.56,12965.78047619,9182.4391666666652
2024-01-01,Beauty,Maharashtra,Regular,454,443,364,615,9075049.9200000037,19989.096740088,14593.500792951534
2024-01-01,Fashion,Delhi,New,131,125,124,182,3104862.2199999997,23701.238320611,17063.515954198469
2024-01-01,Home & Kitchen,Delhi,Regular,448,430,360,596,9761988.2399999928,21790.152321429,14662.054821428568
2024-01-01,Beauty,Telangana,New,76,74,71,104,1509607.2,19863.252631579,12817.926052631577
2024-01-01,Sports,Telangana,Premium,75,74,73,103,1225286.4000000004,16337.152,12467.679466666666
2024-01-01,Sports,Karnataka,Premium,90,89,87,136,2283544.9399999995,25372.721555556,16074.83033333333
2024-01-01,Home & Kitchen,Uttar Pradesh,Regular,643,623,488,916,15120684.310000006,23515.83874028,15699.666562985998
2024-01-01,Beauty,Karnataka,New,91,88,89,128,2459147.2,27023.595604396,18398.665824175823
2024-01-01,Beauty,Karnataka,Premium,92,90,88,137,1433142.89,15577.640108696,11012.515978260868
2024-01-01,Electronics,Uttar Pradesh,Premium,215,204,197,302,3777564.7899999996,17570.068790698,12725.956
2024-01-01,Grocery,Telangana,Premium,64,62,61,87,1468855.52,22950.8675,16465.61046875
2024-01-01,Fashion,Uttar Pradesh,Premium,157,150,139,231,2942138.13,18739.733312102,13940.752993630571
2024-01-01,Electronics,Delhi,New,121,116,113,177,2536831.6,20965.550413223,14810.359338842978
2024-01-01,Grocery,Maharashtra,Regular,507,496,392,712,10152041.940000003,20023.751360947,14302.535305719921
2024-01-01,Beauty,Maharashtra,New,101,101,97,148,2228356.2,22062.932673267,14996.915940594059
2024-01-01,Beauty,Maharashtra,Premium,101,98,98,143,1571518.5900000003,15559.59,10764.993069306935
2024-01-01,Electronics,Delhi,Premium,120,116,112,159,2132133.9000000004,17767.7825,12992.74225
2024-01-01,Grocery,West Bengal,New,52,51,50,65,889667.07000000007,17108.982115385,13209.063461538461
2024-01-01,Grocery,West Bengal,Premium,52,50,52,72,1394372.53,26814.856346154,16861.704423076921
2024-01-01,Sports,Telangana,New,62,61,59,84,858022.75,13839.076612903,11604.924354838709
2024-01-01,Grocery,Karnataka,Premium,97,94,94,127,1654092.5600000003,17052.500618557,13051.017010309275
2024-01-01,Beauty,West Bengal,Regular,247,240,218,340,3928290.3999999994,15904.009716599,12198.634979757091
2024-01-01,Grocery,West Bengal,Regular,244,243,218,331,4200975.709999999,17217.113565574,13346.671557377047
2024-01-01,Fashion,Gujarat,Premium,107,105,101,153,2194899.07,20513.075420561,14965.100280373828
2024-01-01,Sports,West Bengal,New,55,53,51,78,917129.74999999988,16675.086363636,12331.305636363635
2024-01-01,Home & Kitchen,Karnataka,Regular,676,663,488,932,13845559.850000005,20481.597411243,13878.47924556213
2024-01-01,Grocery,Karnataka,New,102,99,95,130,1577499.8400000003,15465.684705882,11308.375
2024-01-01,Fashion,Tamil Nadu,Regular,635,612,473,879,13443699.09,21171.179669291,15032.477464566929
2024-01-01,Home & Kitchen,Maharashtra,Regular,745,726,515,1026,17052432.009999994,22889.170483221,15733.949543624161
2024-01-01,Grocery,Maharashtra,Premium,95,94,88,125,1306309.36,13750.624842105,10653.56789473684
2024-01-01,Home & Kitchen,West Bengal,Premium,63,61,60,78,1268740.33,20138.735396825,17215.538571428577
2024-01-01,Home & Kitchen,Tamil Nadu,Regular,595,570,457,806,12820224.570000006,21546.595915966,16285.04937815126
2024-01-01,Home & Kitchen,Karnataka,New,135,129,130,193,2277608.0100000012,16871.170444444,11405.271777777782
2024-01-01,Fashion,West Bengal,Premium,69,65,68,99,1559782.32,22605.540869565,16352.111014492752
2024-01-01,Sports,Maharashtra,New,92,92,86,133,1953772.7399999998,21236.660217391,16136.053913043477
2024-01-01,Sports,Uttar Pradesh,New,83,83,80,112,1872965.7799999998,22565.852771084,14837.995301204819
2024-01-01,Beauty,Tamil Nadu,Regular,348,344,301,463,7529876.3699999992,21637.575775862,15315.463735632187
2024-01-01,Fashion,Maharashtra,Regular,882,859,578,1223,19029833.39,21575.774818594,15800.062346938761
2024-01-01,Home & Kitchen,Karnataka,Premium,148,143,140,213,3043668.6599999988,20565.328783784,14384.685945945948
2024-01-01,Sports,Maharashtra,Premium,90,88,89,124,2130731.5499999993,23674.795,18937.411555555555
2024-01-01,Beauty,Uttar Pradesh,New,85,84,82,112,1241377.9700000002,14604.446705882,12845.388117647059
2024-01-01,Sports,Gujarat,Premium,43,40,42,60,999361.07000000018,23240.955116279,17217.047441860461
2024-01-01,Fashion,Delhi,Premium,108,103,101,158,2470272.14,22872.890185185,15437.985370370368
2024-01-01,Grocery,Maharashtra,New,89,87,83,118,923965.74999999988,10381.637640449,9024.2076404494364
2024-01-01,Home & Kitchen,Uttar Pradesh,Premium,144,142,131,198,2316545.54,16087.121805556,11494.865486111114
2024-01-01,Grocery,Tamil Nadu,Regular,341,339,290,483,5814016.7500000009,17049.902492669,13716.388944281525
2024-01-01,Sports,Uttar Pradesh,Premium,85,84,82,125,1908017.4,22447.263529412,17746.550117647061
2024-01-01,Home & Kitchen,Delhi,Premium,105,101,99,145,1888296.7700000005,17983.778761905,12558.842190476193
2024-01-01,Beauty,Gujarat,New,61,61,60,88,1398109.38,22919.825901639,16569.577377049183
2024-01-01,Fashion,West Bengal,New,79,75,75,122,1566808.68,19833.021265823,14076.416835443039
2024-01-01,Home & Kitchen,West Bengal,New,81,77,79,107,1192845.28,14726.484938272,12678.905679012347
2024-01-01,Sports,West Bengal,Regular,212,205,193,286,4134044.38,19500.209339623,14425.272028301892
2024-01-01,Beauty,Uttar Pradesh,Premium,85,84,83,123,1922929.07,22622.694941176,15624.437647058825
2024-01-01,Sports,Tamil Nadu,Regular,287,279,245,392,5965338.5300000021,20785.151672474,15968.551707317072
2024-01-01,Electronics,Maharashtra,Regular,1038,991,646,1432,19963234.749999985,19232.403420039,14470.146069364157
